Country,IndR_nc,Flag,Sawn_nc,Flag,FuelW,Flag,IndR_c,Flag,Sawn_c,Flag,Ply_Ven,Flag,PartB,Flag,FibreB,Flag,MechP,Flag,ChemP,Flag,OthP,Flag,WasteP,Flag,NewsP,Flag,PWP,Flag,OthP,Flag
Bosnia and Herzegovina,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Bulgaria,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Croatia,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Czech Republic,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Denmark,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Finland,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
France,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Germany,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Greece,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Hungary,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Luxembourg,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Ireland,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Italy,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
"Macedonia,The Fmr Yug Rp",0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0.04,U,0.01,U
Montenegro,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Netherlands,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Norway,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Poland,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Portugal,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Romania,0,C,0.01,U,0,C,0,C,0,U,0.08,U,0.07,C,0.07,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
